,Exmachina,"Yo, Robot",AI,2001,Matrix,Blade Runner,Y
E113,4.00,4.00,2.50,3.50,5.00,5.00,
E114,4.00,3.00,3.00,4.00,4.00,4.00,
E115,3.50,4.00,4.00,4.50,4.50,4.00,
E116,4.00,4.00,5.00,3.00,3.00,4.50,
E117,4.00,4.50,3.00,3.00,4.50,3.50,
E118,4.00,4.50,4.00,4.50,5.00,5.00,
E119,3.50,4.00,3.50,4.00,4.50,3.50,
E120,3.50,4.50,3.00,4.00,4.50,3.00,
E121,3.00,4.50,3.00,5.00,4.50,4.00,
E122,4.00,3.50,3.00,2.50,5.00,3.00,
E123,4.50,5.00,4.00,4.00,5.00,3.00,
E124,3.50,4.00,5.00,4.50,2.50,4.00,
E125,5.00,4.00,3.50,3.00,4.50,4.00,
E126,4.50,5.00,4.00,4.00,3.50,5.00,
E127,4.00,3.50,3.50,4.00,4.00,4.50,
E128,4.50,4.00,4.50,3.50,4.50,3.00,
E129,5.00,4.00,4.00,4.00,3.50,4.50,
E130,4.00,2.50,3.00,5.00,3.50,4.00,
E131,5.00,4.00,4.00,3.00,4.50,4.00,
E132,5.00,3.50,2.50,4.00,4.00,3.00,
E133,5.00,3.50,3.00,2.00,4.00,3.50,
E134,3.00,3.00,3.00,2.00,4.00,4.50,
E135,3.00,4.00,4.00,2.00,4.00,5.00,
E136,5.00,4.50,3.50,3.00,3.50,3.00,
E137,3.00,3.50,2.00,1.50,4.00,4.00,
E138,1.50,4.00,3.00,2.00,4.00,4.00,
E139,5.00,3.00,3.00,3.50,4.00,4.00,
E140,3.00,4.00,3.50,5.00,5.00,4.00,
E141,4.50,3.50,3.00,5.00,4.00,3.50,
E142,3.00,4.50,4.00,2.00,5.00,5.00,
E143,3.00,4.00,5.00,4.00,5.00,2.00,
E144,4.50,3.00,3.00,4.00,5.00,3.50,
E145,4.50,4.00,4.00,3.00,4.00,4.00,
E146,3.00,4.00,4.00,4.00,5.00,3.50,
E147,5.00,4.50,3.00,3.00,5.00,3.50,
E148,4.00,4.50,2.50,4.00,5.00,5.00,
E149,4.50,4.00,3.00,4.00,4.50,3.50,
E150,4.00,4.50,3.00,3.50,4.00,4.00,
E151,5.00,4.00,3.50,3.50,4.00,3.50,
E152,3.50,4.00,3.00,3.00,4.00,3.50,
E153,5.00,3.50,3.00,5.00,5.00,4.50,
E154,4.00,4.00,3.00,5.00,5.00,4.50,
E155,4.00,3.50,3.00,3.00,3.50,3.00,
E156,3.00,4.00,3.00,3.50,1.50,3.00,
E157,3.50,4.00,3.50,3.00,4.00,4.00,
E158,3.00,3.00,3.00,3.00,4.00,2.00,
E159,4.50,3.50,2.50,3.00,3.50,3.50,
E160,2.50,3.50,1.50,3.00,3.50,5.00,
E161,5.00,3.50,4.50,3.50,4.00,5.00,
E162,3.00,2.50,2.00,3.50,3.50,4.00,
E163,4.00,4.50,4.00,3.00,3.00,4.00,
E164,4.00,5.00,3.50,3.00,3.00,4.00,
E165,4.50,4.50,3.00,3.50,4.00,4.00,
E166,4.00,4.50,4.00,3.50,3.50,3.00,
E167,5.00,4.50,4.00,5.00,4.50,4.50,
E168,4.00,4.00,4.50,3.00,5.00,4.00,
E169,4.00,4.50,4.00,4.50,4.50,4.50,
E170,4.00,4.00,3.50,3.00,3.00,4.50,
E171,4.50,4.50,4.00,4.00,5.00,4.50,
E172,5.00,3.50,4.00,3.50,4.00,4.50,
E173,4.50,4.00,4.00,3.00,4.00,4.50,
E174,4.50,5.00,3.50,5.00,5.00,4.50,
E175,5.00,4.50,3.50,4.00,4.00,4.50,
E176,4.50,4.00,4.00,3.00,4.50,4.00,
E177,3.50,3.00,2.00,3.00,4.00,2.50,
E178,4,4.5,3,4,4.5,5,
E179,3.5,4,2,3,4,4.5,
E180,4.5,3.5,3,3.5,4,4.5,
E181,4.5,3.5,3.5,4,5,4.5,
E182,5,3,2.5,3,4.5,3,
E183,4.9,4.5,3.7,2.9,4.6,3.4,
E184,5,4,3,4,5,3,
E185,3.5,3,2.5,3.5,4.5,4,
E186,3.5,4,3.5,3,4,4.5,
E187,4.5,4.5,3.5,3,4.5,4.5,
E188,3.5,4,3.5,4,5,3,
E189,4,3.5,3,3.5,4.5,2.5,
E190,3.5,4,3,2,2.5,1.5,
E191,2,4,3.5,2,5,3.5,
E192,3,4.5,2,2.5,4,4.5,
E193,3.5,3,3.5,2.5,4.5,4,
E194,4,5,3.5,3,4,5,
E195,4.5,5,3,2,4.5,4.5,
E196,4,4.5,3,4.5,4,4,
E197,4,3,4,4,3.5,3,
E198,3.5,4,3,5,4,3,
E199,4,3,2.5,4.3,4.2,5,
E200,5,4,4,4.5,5,5,
